Method,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI,NMI,Purity
PCA + K-Means,0.09850958,84.55171,2.2501443090211444,0.019203614992161545,0.024390633076398615,0.33528550512445093
Autoencoder + K-Means,0.2148496,176.26741,1.472863173990562,0.045030151485365086,0.07134238142453293,0.3528550512445095
Direct Spectral + K-Means,0.09959502,82.26353,2.387782800600994,0.015607121359996685,0.019992315245503343,0.33528550512445093
CVAE / Beta-VAE + K-Means,0.06490466,40.385914,2.935001608189456,0.006005004580245759,0.015580872072086928,0.3162518301610542
