Method,Silhouette,CalinskiHarabasz,DaviesBouldin,ARI,NMI,Purity
HardTask: CVAE/Beta-VAE + KMeans,0.06490465998649597,40.38591384887695,2.935001608189456,0.006005004580245759,0.015580872072086928,0.3162518301610542
HardTask: CVAE/Beta-VAE + Agglomerative,0.02772303856909275,33.90776443481445,3.8008312590802946,0.007518410346251647,0.017762765450508033,0.3279648609077599
HardTask: CVAE/Beta-VAE + DBSCAN,,,,,,0.2913616398243045
HardTask: PCA + KMeans,0.03621078282594681,36.68034744262695,3.793978775708122,0.02125471461663403,0.027033648828925026,0.3367496339677892
HardTask: Autoencoder + KMeans,0.028716174885630608,32.99332809448242,4.564952741478292,0.04577344500256268,0.0695357621082465,0.35724743777452417
HardTask: Direct Spectrogram + KMeans,0.04217652603983879,37.601531982421875,3.697433963764811,0.015607121359996685,0.019992315245503343,0.33528550512445093
